Name,UserRating,Holds,Grade
B#2,0,F3 B3 E6 E7 H8 H9 J11 J14 K14 J16 K4 J18,2
JUMPING 3,0,H5 H10 J16 J18,4
NUSSBOULDER,0,F5 D4 C8 H8 F12 D14 C16 F18,2
B#3,2,K4 H5 I7 G8 G10 E11 G13 H15 G16 D2 H18,3
B#4,0,I3 E3 F6 H5 H8 D10 E11 C13 C14 E16 B6 E18,2
FINE AND DANDY,3,D5 E6 B8 G10 F13 F14 I16 H18,2
B#1,2,H5 F5 F8 F9 D11 F13 F14 H16 G17 C4 H18,2
REDUCING,2,D4 H5 F8 I10 E13 F15 J2 E18,4
TRYOUTREMY,2,F5 I8 H10 E13 J16 H18,2
SAGGY FLYING MOON JUGS,2,J1 F5 I8 F12 D15 E18,2
BEBORN6,2,A5 C7 B8 F8 E10 E11 B13 D15 D17 G4 F18,4
POCKETLESS PANTS,2,F5 B3 C7 H10 K8 G14 H18,3
RAINBOW CONNECTION,2,F5 F8 C10 E13 C16 B18,2
SHRIMPS,2,K5 H6 I8 F10 F11 F14 F16 D13 H18,5
CAMFIB,2,D4 H5 I7 F8 H10 J11 K14 H14 J16 J2 J18,2
TRAFFIC LIGHTS,2,G4 D7 G10 H14 K15 I18,5
BEN'S BETA,2,D4 F5 G8 C7 D10 F12 E13 E16 F18,2
DRAGONS ARE COOL,2,F5 A4 C7 F8 D10 E13 C14 C16 B18,2
THE SLOPER STRIKES BACK,0,G6 H1 J3 I10 E12 H15 B7 F18,2
HELIOSPHERE TORQUE,0,A5 B4 G3 G8 G13 C16 B10 H18,3
BEBORN5,2,F5 F7 G7 H10 D9 G13 E16 I3 F18,2
GO BIG GO SLOPER,0,G6 H1 J3 I10 E12 J14 B7 H18,2
DISAGREEMENT,2,H4 E6 F10 E12 H14 F17 H18,6
WARM UP EASY,2,H5 F6 H10 E13 E16 B18,0
HIT POCKET,0,E4 H3 F7 C11 E14 B18,9
TRAININGSBOULDER #12,2,J5 H6 K8 I11 K14 H15 K2 K18,8
THERE & BACK AGAIN...,2,A6 F5 F6 I8 H10 J11 E13 A14 C16 K4 B18,2
ALE HOP,3,D5 F5 E8 C10 C13 F12 E16 D18,2
THE NEW NEW VERSION,0,F5 H10 D15 H18,6
BROKEN RECORD,0,D3 I4 H9 K11 H15 K18,8
WUFFTATA,0,F5 I5 I8 F8 F12 J13 G16 H18,2
DORK STICK,0,F5 A7 B9 C11 H13 G16 K18,11
PIM PAM PUM,3,F5 F8 D9 F12 G14 C16 D18,2
FIRST ROUND THIRD MINUTE,0,D3 F3 A5 C9 D11 A15 D18,10
STOREYSTYLE,2,H5 H10 F12 D15 B18,2
DJ NAZZ,3,F5 H5 I8 H10 H14 D15 F18,2
PHISH ARE RAD,2,D4 I3 B6 G10 C13 F18,7
ROCK TILL YOU DROP,0,D4 C5 H9 A11 A13 B14 I15 J18,6
ME SO STRONG,2,J4 H6 H9 K9 K13 H14 J16 H18 G18,2
@THE PARK,0,K1 K5 K8 K9 K11 K12 K13 K15 H15 G16 D17 D12 A11 A18,4
SOMETHING EASY AT THE END,2,H5 E3 F8 H10 G13 D12 C16 B7 F18,2
BEBORN4,2,H5 F4 F7 I8 I11 G11 G14 H15 E16 J13 J2 F18,2
TRIVSELSSKOGEN,0,C4 C8 G8 F11 I12 G15 F15 D18,3
SIDESWIPE,0,F5 C9 I9 C16 B18,11
JDL7,1,F5 A6 A8 E8 E13 A11 D17 G17 D1 H18,3
POWER ENDURANCE,0,H2 K5 J8 I10 F10 D11 A12 B14 A15 F17 C8 B4 H18,9
MAGIC DRAGON,0,F2 I5 H9 G10 B13 E16 E17 H18,6
TRAININGSBOULDER TRITTE 1,2,E2 H6 F7 F10 D11 F14 E17 A8 G18,7
CHA,0,D5 H2 G7 C10 B13 A15 A18,2
YOU SO STRONG,0,J4 H6 H10 K9 K13 G13 J16 H18,2
HAY QUE TURUTUTU,3,D2 F6 G8 H10 H14 I16 F18,5
HAUGSVARDEN,2,J5 F5 G7 C9 G12 H13 K16 G18,8
BETTER THAN 5 MINS AGO,2,K4 E3 B4 F7 D9 C11 B13 D15 D16 H18,4
SLIPTY SLIP,2,H5 F5 F8 I8 H10 J11 E13 C16 C10 C7 K4 J2 B18 D18,2
4 HOLD TOP,2,F5 D9 E13 F18,2
FIRST TRY 1234,1,D4 G5 I7 E10 E15 J13 A1 H18,0
GRAINGER MARKET,2,H3 E4 G7 H11 K13 I16 J18,4
JUGKP,2,H5 F5 F8 I8 H10 F12 E13 E16 C16 J2 F18,2
BE BORN,3,H5 F6 I8 H10 J11 G13 H15 G16 K5 H18,2
BEBORN1,0,H5 I7 E6 F10 G10 D11 E13 C15 F16 J2 E18,2
I WOOD,2,F5 E9 H10 F13 E15 H17 I18,6
I AM DA GROOT -YODAS MATE,0,J2 E3 A6 F9 H8 C11 B12 C16 B18,7
BEBORN,0,C4 A6 A8 C8 D10 B13 C15 E14 D17 D2 D18,2
NOTTHEORY,0,C4 D11 I10 F15 G18,4
CHRMNDR,2,H5 F5 I8 H10 H14 E14 E16 B18,3
RIGGENALVIN,2,A5 F5 D9 E11 C13 E16 D1 F18,4
THE CALL OF KTULU,0,F5 H5 H8 H10 F12 I15 H18,3
MIT DEFIZITEN BEGABT,2,C4 F5 F8 F12 D11 C13 E14 A16 H18 F18,3
DOYOUTHINKHESAURUS??,2,F5 I8 H10 E13 C16 B18,2
SKETCHEMS MAGOO,0,C6 F3 A3 D9 A11 D14 A16 C18,6
HAM & PEASE PUDDING,0,E4 D5 G10 D12 C16 F18,4
DWARF FRIENDLY,2,D4 H5 F8 J11 G13 J16 J18,2
GEORDIE FLICK,2,F3 A5 B10 G8 G13 G16 F18,3
DON'T SAY CAT IF,2,H5 H9 J11 H15 J18,2
SANDBAG MAGOO,0,H6 K6 J11 H10 H18 J18,2
BOTTLE OF DOG,3,E4 I5 E8 A11 B14 A16 F18,4
FROGGY MAGOO,2,G6 K5 K9 H11 K13 G16 I18,6
PROJECT 7C?,0,D1 C3 B7 G7 F13 K14 K18,10
