Name,UserRating,Holds,Grade
MONOBLOC,0,G3 F3 I8 D11 E14 A18,7
FÜR LENA,2,F5 H5 I8 F8 H10 F12 G13 E13 D15 C16 F18,2
EZ4HANNES1,2,E4 K4 J6 H5 F8 H10 F12 E13 C16 F18,2
HELP ME IM WEAK,2,A4 C4 D9 G10 G13 J16 H18,2
LUI'S HUMBLE BEGINNINGS,2,F5 F4 I8 D10 E13 C16 D18,2
YEETUS INCREASUS V2,2,D2 H5 F6 H10 E13 H18,0
I GUESS,2,F1 H5 F4 I8 D9 F12 C13 E16 D18,2
PIMPA SKILLS,2,D6 E6 D9 F12 D15 A3 F18,2
THE WIND AND THE PILLOWS,3,F5 D4 E8 D10 E14 D16 E18,3
STEPH DYNO DRILL 10,2,H5 G6 I8 H10 K13 K15 I16 H18,2
SCREAMING MAKES YOU TALL,2,F5 F8 H8 G13 G16 H18,2
JH01,3,J3 G6 I5 C3 E9 F10 F13 I14 H16 H18,6
STEPH DYNO DRILL 9,2,F5 D9 F12 C16 F18,2
STEPH DYNO DRILL 11,2,F5 C7 C10 B13 C16 B18,2
CHESS OR CHECKERS,2,E3 H5 F6 H10 F12 G13 H15 J18,2
FALC TENSION,2,E6 I4 J6 H8 G11 H13 C14 F17 K10 B18,2
CATCH IT,3,K4 F6 F12 H15 H16 K9 K18,1
FALC REDWOOD,2,D2 H5 F6 I10 E12 E15 G15 H18,1
STEPH DYNO DRILL 12,2,A5 C7 C10 F12 G13 C16 F18,4
MB MASTERS OPEN 6 VAR,2,F2 I5 H9 G10 E15 I18,11
STRETCH 'N' SQUISH,2,H5 D4 D10 I10 H14 E15 D18,0
VUOTOCOSMICO,2,D6 E6 D9 C10 A11 E14 D15 A3 F18,2
BORIS IS AN OUTLAW,2,H5 F8 H10 E13 D15 B18,2
CHOOSE YOUR CROSSOVER,2,F5 C7 G10 D12 D15 D18,0
CRYSTAL CLEAR PERSUASION,2,E4 G4 K5 G8 G10 K11 H14 H17 D18,5
PRIME ROOTS,2,B4 C7 C10 G13 C16 H18,4
SALAD CAKE,2,K1 G4 H8 F10 D12 F14 C16 B18,5
OCYPUS OLENS,2,D5 D11 G10 F13 J16 J18,5
OH SO RIGHT,2,K6 K8 K11 K13 K15 K18,5
RICK ROLL 1,3,E4 H5 K5 H8 G11 J11 E16 H18,4
CHUNK MUFFIN,2,F6 I3 H8 D10 C14 G13 E18,2
HANASE MUNE,2,H5 G8 F10 E12 E14 B13 F17 H18,5
3Q+,2,I3 F6 G7 D9 E13 G14 H15 K15 J18,3
LIKE A MOONBOARDING STONE,2,D5 H5 F8 G10 E13 F16 F18,2
GROUP $EX,2,C4 D3 F6 H6 I10 F11 C12 H15 F18,6
ENHHHHHHH,2,A5 E6 D9 H10 H11 J13 H15 H17 E18,3
JOE'S PROBLEM 1,2,H5 G3 D9 G13 C16 H18,3
REDO OF: TPC,0,D2 H1 H5 D5 D9 G10 C12 E14 D15 D18,4
BALLERN2,0,D2 G2 F8 J11 J16 B18,0
PONTE LAS PILAS,2,I3 E3 D9 I8 G13 E16 H18,2
L-SHAPED RIG,3,K6 F6 E6 A6 A8 A11 A14 A18,5
THIRSTY GIRL,2,F5 F6 F8 G10 F12 G13 C16 I7 F18,2
JOE'S PROBLEM,2,I3 H5 H10 G13 E16 J18,2
AB,2,C4 E6 C7 D10 J10 G13 I15 J16 A3 J18,2
JOE'S PROBLEM 2,2,F5 D2 B8 E11 B13 D15 B18,2
THE POSSIBLE CLIMB,0,D2 H1 H5 D5 D9 H10 C12 E14 C16 D18,4
BLOCK BENDER,2,A6 E6 D9 C10 B8 C13 E14 E16 A3 D1 H18,0
EXTERNALIZED COSTS,2,F3 B2 C5 B9 F13 E18,10
BALLERN1,2,B3 E3 C4 F8 E13 B18,0
FÜRZLI,2,D6 C5 A8 F10 E11 J12 H16 D18,8
IT WAS EASY  😁😀😒🤪😝🤩,2,G4 F6 E8 D10 F12 G13 H14 E16 C17 A18,2
MEGAN,0,E5 G5 H7 D7 E8 C10 E12 D13 G14 F17 E17 D16 G18 F18,2
SAFE WAY TO FAIL,2,F2 I2 H6 C5 D10 G10 H18 F18,8
MUSCH GRAD CHLI HEBE,0,D4 G3 G7 B8 H12 J14 H17 G18,10
ETERNITY,2,E4 H3 K8 G12 H16 C18,10
BODY TENSION,2,J6 K6 K11 F11 G12 E12 G15 C17 B18,8
UNCONFY,3,F5 D8 I10 J12 K13 I16 H16 D18,10
THE THREE DAY👍😂 CITY,2,F5 F7 G8 E8 F9 F12 E13 G13 F14 B15 C16 A16 B17 F18,3
PENANG LANG,2,H5 I7 F8 H10 G13 C16 B18,2
MORPHO,2,E3 J5 E7 A11 F13 F18,7
😸😺😻😾GADDIS,3,E4 H3 H5 F7 E9 G11 E13 C14 E16 F17 B18 E18,4
ROB IS A BIG,2,F6 D4 D7 D8 D10 F9 G11 H12 C14 E16 G2 E18 B18,7
THAT IS EVEN WORSE,2,C4 D4 F4 G6 I5 G9 F10 F12 F16 D15 E8 B8 F18,3
MEGAN2,2,G5 E5 E8 D9 E11 C13 F15 E18 F18,2
ONLY SOFT IF YOU WARM UP,2,I4 G4 G6 J7 K9 H10 F12 G13 E16 H18 F18,2
MUNICH'S FLOW,2,K4 H5 I7 F8 H10 E13 E16 C16 B18,0
EL MARTIR,2,D5 H1 H8 H9 K11 H14 H17 D18,7
RED WRIGHT,2,F6 H5 H10 E13 E16 B18,2
LEFT THROWS,0,F6 J2 J9 E12 H14 F18,4
HIGH FLYING,3,H5 K4 F9 E13 J16 J18,2
ROCK JUNIOR,2,D5 H5 H10 D9 E13 E16 F18,2
FOR HANNAH,2,F5 H5 I8 F8 H10 D10 F12 E13 C16 B18,2
GOKU,2,F5 B8 E11 C13 F15 B18,7
4 DAN,2,F5 F8 I10 F12 E14 E16 E2 F18,2
CHERRY BLOSSOM,3,H4 F1 D9 B11 H12 K15 H18,12
CHOP SUEY,2,C4 E8 D9 F12 G14 K15 K9 J18,3
GÄMSE #26,0,F3 D3 C7 H10 K8 K5 J14 E16 B18,6
BIG BOI D,2,K6 G6 I8 D10 G13 E16 D3 H18,2
RACECAR IS RACECAR,2,D5 H5 I8 J9 J11 E11 F12 E13 C16 D9 H18,2
LAIYU 3,2,H5 K4 J9 E9 G11 G14 F17 H18,2
ETERE,2,F5 E7 C7 D9 I7 G13 C16 D2 H18,4
EVAN IS A CHEATER,2,F5 G5 F7 G10 F12 H14 F16 H18,3
LAIYU 4,2,A5 D5 C7 F7 G3 E11 B13 E16 D18,2
HAMO 3,2,B2 F4 E8 B10 F12 G14 F16 C18,5
ZEITGEIST,2,F5 C10 G13 F18,2
MODIFIED T,2,F5 H5 K4 I8 F8 B7 G11 G13 C14 F18,2
LAIYU 2,2,D4 I3 F6 H8 G11 I13 E16 E18,4
HAMO 2,2,J4 G6 H11 G13 E14 K10 F18,5
HAMO 1,2,E4 H6 G10 H11 F12 G13 D18,4
TWEAKED T,2,F5 F8 I8 G11 G13 C14 F18,2
FIRST TIME T,2,H5 F5 F8 I8 J11 G11 G13 C14 C16 E16 B7 K4 F18 E18,2
BEACH PARTY,2,G3 B4 F8 D11 G13 F18,1
KABUKI,2,E4 I3 K4 H9 J12 G13 H16 D16 F18,6
LAIYU 1,2,D5 E9 G8 G10 F12 C13 E16 F18,2
OUUU WEEE,2,A5 E6 D9 E11 C14 D18,4
FRENCH FEET,3,A3 B4 A8 E8 A11 B13 D17 D18,2
***P13,2,E6 G3 G9 G10 F13 F14 D14 C17 D18,6
***P16,2,C4 E7 H6 J3 I10 H11 J13 F14 H18,7
***P12,2,D5 H5 I7 I8 H10 F12 G13 C13 C16 A16 B10 A18,2
***P15,2,G6 G4 K9 G12 H13 D15 C18,8
SIGHT AT FIRST LOVE,2,H5 E4 F8 G13 J11 J16 F18,2
THE QUICK AND THE STUPID,2,F6 H5 J11 H14 H15 F18,5
GUM-BEE,2,D4 H5 D9 E13 B18,2
***P14,2,C4 B8 G8 H7 D11 G14 H15 J18,6
***P11,2,A5 C7 G7 G4 E3 D9 G11 G14 H16 J13 J9 H18,4
SORDID AFFAIRS,2,D5 F1 A5 G8 F12 J13 I16 K18,6
STRAIGHT IS THE GATE,3,A5 A8 A11 A14 A18,4
DIGITS,0,F4 G1 I8 I11 K13 J18,5
***P17,0,F4 C6 D7 C9 E10 B12 D14 B16 F16 E17 G18,7
DRØMMESCENARIO,2,J6 F5 E8 I8 H10 B12 E14 B16 F18,4
THE MATCH DOESN’T PROFIT,2,G6 J4 H10 E13 F18,3
***P7,2,F3 C5 C7 B9 A9 A12 D13 B15 E17 E3 E18,7
***P2,2,H5 D4 F6 I7 H9 J11 H14 H15 E16 J4 J2 F18,3
***P10,2,A6 D6 E8 E11 D13 E14 C16 B10 E2 C18,4
M I K E,3,D1 D5 B6 E8 F9 J11 I14 K17 K7 G18,7
***P6,2,J6 J3 I7 F10 E12 C11 A10 A8 C14 F16 F17 G18,7
FLUXKOMPENSATOR,0,H5 E8 E11 C13 G14 G16 J18,4
***P1,2,F5 E6 F8 F11 D10 B11 E13 D15 C15 A16 G3 A18,2
***P8,2,H4 E3 J4 J5 J6 I8 K9 H11 K13 K15 J16 F7 J18,3
***P9,3,K6 H6 H8 G9 D9 D11 G13 J15 I16 K11 K5 K1 C6 J18,6
***P5,0,C4 C3 G5 E7 E9 G9 F12 E15 G15 F18,7
***P4,2,K5 G6 J8 K8 K11 I12 I14 F14 H16 I3 F18,6
***P3,2,D5 H3 D2 G8 G10 F10 D11 F13 D15 F17 D18,4
POSTFERIA,0,A4 C5 D7 C9 F12 D16 C18,7
BUNGEE BENJI,2,F5 C6 C7 D9 E11 G13 G8 F2 A3 F18,2
LICKER,2,I4 E4 D6 A8 F11 D15 G18,8
DORA’S JOURNEY,0,B3 E3 D7 G11 H15 K18,12
BIG BRAIN TIME,2,K1 H6 F7 B7 C8 C11 F13 C15 A16 A3 C18,6
KATJASPROJECT,2,D5 F5 E8 I8 J6 J2 J11 H10 C10 E13 G13 E16 C16 F18,2
CHERRY BOMBER,2,D4 H5 D8 D14 F17 H12 B18,10
AREA 51 TRAINING,2,H3 E6 H10 F13 F14 D16 D18,2
OKS THREE,0,A3 F2 F1 I3 G6 C6 D10 G10 H11 J12 K12 J9 G15 J18,2
UBC TINGS,0,H5 F5 D9 I10 E14 C17 F18,2
WHY NOT LIKE THIS,2,F4 E8 H10 F14 G17 F18,4
BALKANY EN SONPRI,2,A6 D6 C10 E14 H18,7
OKS TWO,0,C2 A5 C6 A9 E10 C13 F14 G14 D18,2
DJDISJDHD,2,H3 E4 F6 H5 I8 H10 I13 I15 J16 H18,2
ZERGGERAT,2,B4 C4 C7 G8 H11 J12 J15 H18,7
BARACUDA,2,H5 F8 D10 E13 H18,3
NEW MOON,2,D5 I4 E8 C11 G14 F18,7
JOE'S DELIGHT,1,A5 E3 E8 H10 G13 D12 C15 H18,4
THE MAGIC FIVE,3,B6 E6 F5 F11 F14 D17 B10 B9 F18,6
ABANDONED CATS,3,J5 H6 I5 E9 E12 B14 C18,11
MARRRRRTINA,2,F5 H5 I7 H10 J13 E13 C16 B18,2
CRIMPP,2,C4 H6 J8 J10 F11 F13 I16 H2 G18 K18,6
TEAMV,2,C4 B7 D11 F10 F14 C15 D18,5
THE LABYRINTH,3,E6 H6 H9 H11 K11 H14 F14 C13 D17 F18,6
SOMEWHERE IN THE SKY,3,E6 D5 F7 G8 H9 E12 D13 E14 G17 F18,6
AUFWÄRMROUTE 1,2,D4 H5 F8 H10 E13 C16 G1 B18,2
LMF REDUEX,2,A6 F5 D9 H9 F12 H15 E16 F18,3
SY-PART 3,2,F5 D5 C7 A8 D11 C13 C14 H10 B18,7
SY-PART 1,2,D2 H5 D9 D10 F12 G14 H14 J16 H18,4
FOR TEBAR,2,D4 G2 G8 D9 G13 E16 F18,2
OKS GET YOU BOARD STRAIGH,0,F6 H6 F9 H11 G12 F13 C15 D16 B18,2
GHOST CITY,3,J4 J6 J8 J10 K12 I14 H15 H18,5
THE J,2,D4 B5 F5 F8 F10 F12 E12 D12 G12 H12 F14 E16 G16 F18,2
SY PRACTICE,0,I5 F4 D9 F12 C13 E15 H14 J18 K18,5
LMF PRACTICE,2,H3 D5 E8 G8 I8 H11 K11 I13 K15 J18 H18,5
2ND PROBLEM,2,A3 C4 D4 F4 F9 I8 J11 E13 F15 C16 A10 K1 D18,1
MY FIRST THING,2,F1 F4 D6 A6 D9 G8 H11 E14 D15 C16 B18,1
JAUNE PÂLE,2,C4 B6 D11 F10 I14 H18,9
SY PRACTICE-PHASE 3,0,F5 D5 C7 A9 D11 C13 H10 J4 H2 B18,5
SY PRACTICE-PHASE 3,0,F5 D5 C7 A9 D11 C13 H10 J4 H2 B18,5
SY PRACTICE,0,I5 F4 D9 F12 C13 E15 H14 J18 K18,5
THE TERMINAL,3,B6 F4 E9 H9 H10 H13 E15 H18,7
LOVERMONT,2,F4 A8 F12 D18,2
SUNDUBAE,2,F5 D9 G10 G11 K13 H15 J18,3
SY PRACTICE-PHASE 2,2,C4 D5 D9 D12 C13 F18,6
BINGBANG,2,I3 D5 G7 C10 F12 A14 D18,2
DYING CRIMP GODS,2,F5 C8 G10 F13 H15 H17 E18,5
LORTE PROBLEM 2,2,A5 C7 D9 H10 H13 G14 I16 I4 H18,3
FOND FAREWELL,2,H6 J3 H9 F11 J13 H15 I17 K18,6
SWIRLY,2,C4 C5 B8 F10 G13 K14 H17 K8 I6 F18,6
TRÆMANDEN - RH,2,E5 G5 G9 E9 E12 H13 G15 H16 K7 I18,3
JUT'S LADDER,2,F5 H5 F8 H10 G13 E13 F18 H18,2
"UP, UP, AND AWAY",2,G2 I3 F6 G11 G13 C15 K9 F18,6
TRY ELEGANTLY,0,D5 D3 I8 G11 E12 A13 D17 A18,10
BLOCCLIMB6,0,F5 E9 G9 G12 H13 H16 J15 I18,6
FAB LIFE - LAB LIFE,3,J1 G4 I7 G12 E12 A14 B17 A18,9
CHECK THE CHECKER,1,H5 F6 C6 C10 F12 G13 I15 F18,5
NIÑO BROCOLI,2,E4 F5 G8 D9 F12 D15 B14 A16 D18,2
TRÆMANDEN,2,G5 E5 E9 G9 G12 D13 E15 D16 A7 C18,5
BLOCCLIMB5,2,F5 G9 E9 E12 D13 D16 B15 A18,4
OBEN IST ENDE,2,H5 F6 F8 I7 H10 G13 D12 E16 J18,2
QUEENSCROSS,2,K1 E3 I7 D9 G13 C15 F17 A18,3
DREAM TEAM 1,2,D4 H5 I8 F8 J11 G13 J16 F18,2
DREAM TEAM 0,2,H5 D4 F8 H10 E13 C16 J18,2
DOPAMINE MOURNING,2,F4 B4 F8 F12 D15 H18,4
EAGLE WINGS,2,J6 H6 F7 G9 F11 F14 G14 D15 J12 J4 F18,5
KINGSCROSS,2,A1 F4 C6 C10 G8 F13 E15 J16 K18,4
BASIC RULES,2,D5 D6 G8 G10 D12 D16 G15 F18,4
BLOCCLIMB4,3,A5 B8 D11 C13 G16 H16 J10 K18,6
COMPRESS TO IMPRESS,0,D5 H5 H9 D9 C13 I13 F18,4
HÄINOUS,2,B3 F4 H9 B8 D12 E14 G16 J18,6
STÄLLIS,2,D5 F5 H8 F10 F12 C13 C16 A18,3
"MAKE WAY, MAKE WAY!",2,F5 F8 H10 G13 D12 D15 H18,2
THE PATH OF DREAMS,2,F5 E6 E8 A8 B12 E12 G12 H13 G16 C3 H18,7
CHOSS POSSE,2,D5 H5 I10 J13 G13 F12 D9 J16 H18,2
BERMUDA TRIANGLE,2,D6 E6 D5 E8 H9 G12 H13 F13 C13 D17 D18,4
MILLENNIUM,2,J6 J4 F4 H9 G10 C10 F13 F14 J15 H18,4
OSNES RED SESSION,2,D4 H5 F9 I10 E13 E18,1
KANTARELL,2,C4 H4 J8 F10 F13 I14 B7 G18 K18,2
SILENCE OF MISTERY,2,F5 E6 G4 C9 F12 H14 H15 K11 K18,5
POWER CRYSTAL,3,I5 F10 F13 C15 A8 H18,8
THE DEPARTED,2,A5 F5 D9 H10 H14 K15 H18,2
CLAM CAKES,2,A5 F5 E8 D9 D11 C13 B16 F15 H12 G10 D18,4
STUPID BUMP,2,E3 H5 I10 D9 G13 E16 H18,3
THE ELLIOTT YO,2,D5 F5 E3 D2 C7 F8 D10 F12 E13 D15 E16 F18 E18,2
BILLY ELLIOT,2,F4 G4 C7 F10 F13 E14 A16 B18,7
GRANDVILLARD,3,A5 F4 F9 G11 G14 D16 B8 D18 B18,5
OSNES REDLIGHT,2,D4 H5 H8 E7 E13 E18,2
JUSTIN SPECIAL 2.5,3,E4 I3 G8 G13 G16 D11 A6 H18,4
THE TAFT,2,D5 F5 E3 D2 C1 D8 F9 E10 F12 E13 E16 F18 E18,2
DONNY FOR PREZ,0,I5 F10 E12 D16 A8 J18,10
LANK IT OR WORK IT,2,F5 I7 A8 E11 G13 G14 J16 B13 F18,2
TEST 6B,3,D4 H5 E8 D11 F13 E14 J9 D18,4
AUFWÄRMROUTE DYNAMISCH,2,D4 H5 F8 D10 E13 A14 C16 J1 B18,2
LACTATION STATION,2,B4 E6 D9 J11 H14 H15 K5 G18,3
BLACK BEAR 2,2,F1 F4 I4 F7 I10 F12 D15 F18,3
HALLO,0,E4 H6 D9 H13 C15 I18,9
GLEN’S MUSHROOMS,2,K5 H6 J8 F10 F13 F14 G18,3
BALLERMANN,2,H5 D4 F8 D10 E13 A14 C16 B18,2
BOWL FINGER,2,K5 K8 H12 I15 E18,8
RED HOLE,2,D4 H5 F8 H10 E13 C16 A9 B18,2
TEST 6C,2,E4 C6 E9 G10 G15 C13 F18,5
TECHNIQUE REQUIRED 2,2,F5 F8 I8 F11 D11 E14 A14 A9 B18,4
WISH VAR,2,C5 E5 C10 E12 I12 J8 H17 D18,10
TEST 7AA,3,F5 C7 B11 D13 E14 H17 I17 J8 K18,6
WU 4 2,2,H5 J6 I7 H10 J11 E13 A14 C10 B18,3
WU 4,2,D5 F8 C10 E13 F16 F17 J18,4
LUNES 16 SEPT,2,H5 H10 G13 E13 C16 F18,2
HUNSIX HARD,3,K4 H5 I10 E12 D15 H18,8
MB MASTERS OPEN 5,2,D5 I2 H9 D11 D15 A18 B18,6
MB MASTERS OPEN 20,2,A4 E1 E7 F9 J9 I12 J14 H17 H18,6
CARADHA CHALLENGE,2,H5 F5 F8 H10 J11 G14 J16 H18,2
MB MASTERS OPEN 16,2,G6 I5 E9 G12 C15 D18,9
CARADHA RANDOM,2,H5 F6 H10 E13 E16 C16 F18,2
YOU CAN DO IT,2,H5 F5 F8 I8 H10 C10 F12 E13 E16 D2 G2 B18,2
WARM UP V4,2,A6 E6 E8 B8 E11 C13 D15 F4 B18,3
MB MASTERS OPEN 15,3,B6 B7 J8 F11 F14 I14 B17 A18,10
MB MASTERS OPEN 4,2,F6 I3 K9 H11 H13 D15 F18,8
MB MASTERS OPEN 13,2,A5 C4 C7 G8 H10 K11 J13 I16 H18 J18,4
LUNES 16 SEPT 2,0,F5 B7 D10 C14 F18,2
MB MASTERS OPEN 8,2,I6 J5 J12 E9 E15 I18,12
MB MASTERS OPEN 19,2,K6 G6 F10 K12 K14 K18,11
STARBUCK,2,F5 A5 D10 H10 E13 J16 H18,2
MB MASTERS OPEN 11,2,G1 K5 H9 F14 H18,12
MB MASTERS OPEN 3,2,B4 F4 D9 B8 C13 G14 F17 J18,4
DEATH BY DONUT,3,B3 F3 J8 G13 F14 B10 J18,12
MB MASTERS OPEN 18,2,G2 G5 D8 E10 B11 G15 C18,12
MB MASTERS OPEN 9,2,C6 E3 F10 E12 J14 J18,8
MB MASTERS OPEN 6,2,F2 I5 H9 G10 G15 E15 B12 I18,8
MB MASTERS OPEN 2,2,B4 E6 F8 H10 G13 E13 G16 J18,2
MB MASTERS OPEN 17,2,C5 C6 G9 F13 K16 J18,12
MB MASTERS OPEN 1,2,A4 F5 D9 F12 C13 C16 B18,2
MB MASTERS OPEN 7,2,H6 H4 I10 F14 E17 A18,10
MB MASTERS OPEN 10,2,D5 D3 C9 G12 H13 I16 F18,12
MB MASTERS OPEN 14,2,B6 F3 G8 G10 H11 I11 J14 E16 D18,7
MB MASTERS OPEN 12,3,A4 B4 F6 F10 K10 I13 I16 E18,12
KNEES UP MOTHER BROWN,3,E3 A5 E7 D8 H9 I11 H13 J15 I18,7
NOOB-1,2,K5 E6 I8 H10 J10 K13 K15 I16 F13 H18,2
QUICK START,2,H5 J6 I7 K8 F8 J11 G13 K15 H18,2
FOR REAL DOABLE,2,H5 F5 F8 I7 H10 E13 J16 H18,2
SPUDNIK,2,E4 H5 E7 C10 F12 G14 J16 H18,2
TESTPIECE1,0,H6 K5 J8 F10 F13 C15 C18,5
FOR VIVIAN 3.0,2,H5 D4 F4 F8 F10 F12 G13 E13 D15 F17 J11 J9 J2 F18,0
HAHNS WALK,2,H5 D4 F9 I10 E13 F17 E18 H18,0
LAST JUMP,2,C4 F5 D9 H10 E13 F18,2
CRIMPET,2,D5 G4 G8 D11 F13 D16 D2 D18,5
STUCK,2,E3 G4 G8 A8 E11 A14 D18,4
GIVE THIS A WHIRL,3,A5 A6 E7 D10 F12 C16 G3 B18,4
THINKING OF NEW STUFF,2,H5 J4 I8 H10 K11 K13 H14 J16 H18,2
YOUR MAMA V3ISH,2,F4 D1 J1 G8 D9 J10 F13 D15 F18,1
LIL FLIP,2,D5 F4 G8 G10 F13 J13 H18,2
DOUBLE PROJEKT,2,B3 F4 G8 C7 D10 G13 A13 D15 B18,4
STATIC?,2,G4 I4 I8 F7 D10 G13 G16 H18,1
CASO3º,0,E4 G3 I8 F13 H18,5
ROY ANDERSEN - LH,2,C6 E5 B5 D7 C9 G9 G12 E12 E15 H16 C18,7
DASAKU,2,F5 D9 E11 D12 E15 H14 H18,4
ISSEN00,2,E4 I3 I8 D10 G13 G16 B2 H18,4
BLOCCLIMB2,0,I4 G4 H6 I9 D11 A11 F14 E17 J18,6
CHULO,2,K6 F6 I10 H12 J16 J17 E17 B18,7
EASY PENDULUM,2,B5 D5 C2 B8 D9 H10 E13 G15 C16 K5 F18,0
SPUDNIK,2,E4 H5 F8 C10 F12 G14 J16 H18,3
BLOCCLIMB3,0,A5 E8 B12 E15 G15 K12 I18,6
RUGZAK,2,F2 H2 D5 E6 I9 G11 I14 J18,3
MOONBOARD TOO HARD,2,H5 K4 I7 F8 H10 E13 E16 D18,2
BLOCCLIMB1,3,A1 D6 C9 G10 K11 G14 F17 B18,6
ROY ANDERSEN,2,I6 G5 J5 H7 I9 E9 E12 G12 G15 D16 I18,7
SICKWOODS,2,H5 E4 F7 I10 I11 G12 G13 E15 H16 E18,6
SOFT GASTON,3,G5 K5 I8 I10 G13 E12 D16 H18,7
ANOTHA SOFT ONE,2,D5 F6 D9 F12 G13 D17 F18,4
VARM UP,2,H5 F6 F8 I7 H10 D10 F12 E13 G13 E16 C16 B18,2
FORGETFEET🥶,2,F5 D5 G9 F12 G13 D15 F18,6
THE MOJOS,0,B3 E1 G8 C9 E12 E16 A18,9
キッズ,3,J3 K5 H6 I8 F8 G10 E13 F15 F16 E5 H18,2
GRITTYGRIZZLY,0,D4 H4 I8 F12 J14 F18,8
UPNOTDOWN,2,A2 D5 C7 E7 H10 G13 K15 K18,5
RAPTOR CLAW,2,A5 F5 I8 H10 I13 G14 K15 D1 J18 H18,0
KITTEN,2,G6 J6 I8 H10 F9 G13 E16 F17 H2 C18 B18,0
DEVILFACE,2,D5 F6 G8 D9 F12 G13 D17 F18,2
A CLUSTER OF HOLDS,2,D5 H3 H5 E6 E8 G9 G11 H12 I12 F13 G14 G16 I17 F18,4
OK BOOMER,2,D5 H4 I8 H11 E13 H18 F18,6
DYNODINO,3,D5 I5 I8 F12 G13 D18,2
YSTELCRAY,2,F2 D4 G8 D10 G13 D15 F18,3
9.14,2,E6 A5 C7 F8 F9 H10 I7 E13 C16 E18,2
CHILL DINO,2,H5 D4 A4 C7 D7 H6 G10 G13 E13 B10 H18,0
WOOD’S GOOD,3,J5 G5 H7 C9 E12 F12 J12 J15 H16 I18,4
PICKLE RICK,2,I2 F5 I8 H11 J11 H14 J16 H18,2
BACK DOOR PAWN,2,F6 G5 G9 C9 B12 G12 G14 F14 J16 B4 J18,8
CHAMP,2,F4 D5 F8 D10 F12 E13 E14 C16 F18,2
RIGHT ONE,2,K5 J4 G6 I8 H9 J11 H14 K15 J17 J18,2
EASY FLASH,2,H5 F5 F8 F12 E13 B11 H15 E17 F18,2
OMERVENGA,2,H5 F4 F8 I8 F12 E13 C16 J2 D18 F18,2
レディ課題,2,H5 I3 K8 H10 J13 F14 E16 B11 B18,4
RIGHT UP,2,C4 E6 C7 G7 D10 J10 G13 I15 J16 A3 J18,3
CURVED APPETITE,2,E6 G3 A3 D9 A11 D15 D18,5
LANK IT OR DYNO IT,2,F5 D4 A6 A8 B13 G13 G14 J16 E11 I7 F18,2
OMERVENGA2,2,H5 G3 J2 I8 F8 H10 F12 E13 I13 H16 E16 H18,2
JO,3,B4 E8 A10 B14 C15 F18,8
HEXAGONAL IDEAL,2,D5 G4 G10 F13 H15 H18,5
LONG ARMS,3,D5 B5 B8 H10 J10 K5 C2 E13 G15 F18,2
BICEPTION,3,F2 K3 G7 D8 B5 C12 G11 G15 F15 I18,6
HERE WE GO,1,D4 F3 J4 G7 F9 D8 F14 H16 J12 D18,2
BU,0,G3 H3 I9 E13 G16 G18,8
GOOD TO WOOD TO GOOD,3,H5 G2 E9 F12 G15 F18,8
THE ROBOT WITH HUMAN HAIR,2,C4 F8 H11 J11 H15 J18,6
CLINICAL RECESSION,0,H5 D5 E9 G10 F13 G15 F16 F18,4
4GAINZ,2,E4 H6 G8 D11 D15 C15 F18,4
RATIONAL ROOTS,2,B4 D6 C10 G13 D15 H18,4
ENDS SESSION,2,D4 H5 H10 D9 E13 G15 H16 D2 F18,2
COOL BANANA'S,3,K4 G4 I7 H8 H10 G13 D12 C16 A9 B7 F18,4
GRACEFUL DINOSAUR,3,B6 E2 K4 G8 D8 H11 J14 E15 E17 C18,5
YEAH BUDDY,0,G6 B4 D11 F10 F16 B18,10
UWU,0,K4 H2 J7 H11 H15 E18,10
MELKESPRENG,1,E4 K5 G8 E11 F13 E14 F18,2
BOQUERÓ,2,F4 F7 H9 G12 I14 E15 F18,2
BIG MAN MOVES,3,I5 D3 G8 B11 E14 E15 G18,11
DANCE WITH ME,2,K2 K5 K9 H11 G13 K13 C15 D18,6
HOTWHEELS,1,E4 F8 I7 J13 E15 F18,2
ARGHHH,3,F5 E11 I10 G15 F18,10
CRISTOPH,2,A5 C7 D7 F9 H10 J13 G16 I3 H18,3
I'LLSHOWYOUF*INGMORPHO,2,H5 D1 A8 F12 D16 H18,2
BILLY BIG MOVES,2,F4 J7 H10 K15 H18,2
RUTSCHÄR,2,H5 K5 G9 D10 E13 B16 F18,4
HELICOBACTER,2,H5 I7 F8 D8 D4 H10 G13 H15 G16 H18,2
ZU SCHWER FÜR JERI,2,F5 H5 I7 I8 H10 J11 G13 E13 E16 C16 J2 B18,2
TOO FORTY 5,2,I5 G6 G7 E9 B10 E12 F13 J14 H17 K18,8
HIP STAR,3,F4 C6 G10 C13 F16 F18,5
GIVE A TRY,2,J4 G3 E6 I8 H9 I12 F12 H14 K15 H18,2
WOODEN DONGUS II,3,C6 E5 C2 C9 G9 G12 E12 H16 F18,6
FOR FRODO,3,A5 B4 D9 C10 F10 G13 H17 J18,5
AS YOU DO,2,C4 D5 C8 F9 G13 D15 F18,0
VOYAGE OF THE DAMNED,2,D4 I4 E8 C10 G13 H14 J13 H17 J18,6
SKOLEBOLLE,0,G6 G3 K9 F11 F14 A16 A9 D18,6
DE,2,G5 H2 I8 F12 F16 C15 A9 C18,7
JACK'S FIRST,2,F5 F4 H1 I8 G10 F12 E16 H18,3
